campaign,adset,ad_name,spend,impressions,clicks,link_clicks,lpv,atc,purchases,revenue,roas,cpa,ctr,cvr_click2buy
붓기파우더_캠페인,붓기파우더_세트,260126_붓기파우더_홈쇼핑 효과,265676,3499,79,80,69,5,5,491510,1.85,53135,0.0229,0.0625
생애 첫 구매 붓기_캠페인,생애 첫 구매_세트,260127_칼륨 생애 첫_나트륨빠져야~,466949,17608,387,383,641,53,21,431900,0.925,22236,0.0218,0.0548
생애 첫 구매 붓기_캠페인,생애 첫 구매_세트,260128_칼륨 생애 첫_나트륨빠져야 붓기빠지죠,291707,10904,174,172,959,29,12,217400,0.745,24309,0.0158,0.0698
붓기부스터_캠페인,붓기부스터_세트,260130_붓기부스터_햄찌ver.2 운동,42713,2217,24,15,13,0,0,0,0.0,,0.0068,0.0
브랜딩_캠페인,브랜딩_세트,250907_브랜딩_서서 기억해 - 사본,407878,72899,1854,1836,1643,0,0,0,0.0,,0.0252,0.0
증대기여_캠페인,증대기여_세트,260211_증대_붓부_유산소 5시간 체크박스,620344,14105,326,330,737,15,7,764138,1.232,88621,0.0234,0.0212
증대기여_캠페인,증대기여_세트,260211_증대_붓파_이쁜얼굴ai 누적리뷰,54094,1650,20,22,488,1,1,37101,0.686,54094,0.0133,0.0455
증대기여_캠페인,증대기여_세트,260211_증대_붓파_유산소vs칼륨 뚱냥이,3190492,58238,1675,1824,2367,65,44,3076024,0.964,72511,0.0313,0.0241
증대기여_캠페인,증대기여_세트,260211_증대_붓파_홈쇼핑 효과,228898,3498,118,135,99,2,0,0,0.0,,0.0386,0.0
251128_캠페인,251128_세트,260220_붓파_리뷰 사기템,571040,7169,77,73,69,5,1,68000,0.119,571040,0.0102,0.0137
붓기파우더_캠페인,붓기파우더_세트,260223_붓기파우더_체크박스 붓기완벽차단,6506107,223962,2067,1905,5486,99,62,4586000,0.705,104937,0.0085,0.0325
올영세일_캠페인,올영세일_세트,260302_칼륨 본품_박스2개,120905,3298,55,54,3,2,1,104000,0.86,120905,0.0164,0.0185
올영세일_캠페인,올영세일_세트,260302_칼륨 본품_가루 파묻,97078,3032,35,35,0,1,1,43800,0.451,97078,0.0115,0.0286
올영세일_캠페인,올영세일_세트,260302_칼륨 데이팩_가루 파묻,8555,270,5,5,0,0,0,0,0.0,,0.0185,0.0
올영세일_캠페인,올영세일_세트,260302_칼륨 데이팩_박스2개,729781,21634,366,349,12,22,10,1084840,1.487,72978,0.0161,0.0287
올영세일_캠페인,올영세일_세트,260302_비컴 본품_박스2개,27741,648,13,13,2,0,0,0,0.0,,0.0201,0.0
올영세일_캠페인,올영세일_세트,260302_비컴 본품_가루 파묻,71256,1571,15,13,1,0,1,12400,0.174,71256,0.0083,0.0769
올영세일_캠페인,올영세일_세트,260302_비컴 데이팩_가루 파묻,28520,877,8,7,0,1,0,0,0.0,,0.008,0.0
올영세일_캠페인,올영세일_세트,260302_비컴 데이팩_박스 손,5284,173,0,0,0,0,0,0,0.0,,0.0,
올영세일_캠페인,올영세일_세트,260302_마그 본품_박스2개,30246,546,3,4,0,0,0,0,0.0,,0.0073,0.0
올영세일_캠페인,올영세일_세트,260302_마그 본품_가루 파묻,29105,787,7,7,0,0,0,0,0.0,,0.0089,0.0
올영세일_캠페인,올영세일_세트,260302_마그 데이팩_가루 파묻,9895,283,4,4,0,0,0,0,0.0,,0.0141,0.0
올영세일_캠페인,올영세일_세트,260302_마그 데이팩_박스 파랑,38808,1399,15,16,0,0,0,0,0.0,,0.0114,0.0
올영세일_캠페인,올영세일_세트,260302_칼륨 데이팩_박스 모임,16704,566,4,4,1,0,0,0,0.0,,0.0071,0.0
올영세일_캠페인,올영세일_세트,260302_칼륨 데이팩_설인아 선글라스,9280,242,2,1,0,2,1,56440,6.082,9280,0.0041,1.0
올영세일_캠페인,올영세일_세트,260302_칼륨 데이팩_설인아 포,6491,151,3,3,0,1,1,224930,34.653,6491,0.0199,0.3333
올영세일_캠페인,올영세일_세트,260302_칼륨 데이팩_설인아 박스,4290,165,2,1,0,0,0,0,0.0,,0.0061,0.0
